author,comment,likes
@sabrinanaura3573,"Aku udah langganan dms+ yg 45 ,,tp knapa eps 2 dan 4 ga ada yaa di aku ??..adanya eps 6 doang?? Ada yg bs bantu jawab ??",0
@FebechrisiariPutri,"ini sabtu kemarin, emg gaada upload apa2 ya ?",0
@laobopeng,Knp akhir2 ini gak ada bang fadi?,0
@nurshafiqah6855,Team dms pls the next episode 6 pls,0
@PutriRichpanny,Aku malah ga ngerti gimana cara nonton di dms plus..,0
@nurshafiqah6855,Tolong post full episodes warga Singapore tak bisa nonton di dms app.. tolong kami mahu tengok. 😂,0
@gilangramadhan-vq3lf,kok tumben belm tayang tayan episode barunyaaa,0
@lilissetiawati7963,Mas nunu lucu bgt plisss😂😂,0
@bundaaqeyla,Sepi ya gk ada bg fadi,0
@EdelweisSekar-jk6js,"Telat banget baru bisa nonton, baru keluar dari rumah sakit soalnya :&#39;)",0
@CipekLillahi,penasaran bgt pas bilang ibu saya tp gak punya duittttt mau nonton eps 6😭😭😭😭😭😭😭😭😭😭,0
@febriana2949,fadil kok ga ada,1
@KayaSukarya098,"Kak Sarah coba deh ke rumah Darmo yg disurabaya , pasti lebih wow ☺️",0
@jhonniefranata1387,Jangan di dms+ doooong jadi penasaran 😢,0
@Oktaviazevara,Pas belakang rumah q itu kak... Gudang peluru 😊😊,0
@deviekaxtzy6115,Kenapa blm up lagi😔,0
@Wrisnidy_,Nyai harusnya ke RHD (Rumah Hantu Darmo) itu legend sekali di Surabaya,0
@AnggunDiah-x8w,"Cepetaan aploud mbaaaaaak 😭😭😭😭,gak sabaaaaaar",1
@f.muzaki_9760,menit 22.26 manggil nuuu😮😮,0
@ririncahyani4948,Ngakak.. mas dek cegukan <br>.. 😂😂😂😂,0
@ayurh7733,"ada yang sama ga sih suara editor nya kaya aku regregan gtu suara nya,, trus agak gak konek sama vidio nya audio nya ga belend,, di menit <a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1242"">20:42</a>",0
@HeniindahFebrianti,Pingin banget liat lanjutannya😢,0
@shakillaannastasyasyach2763,Kenapa belom post lagii🥹🥹🥹,0
@nayshila-w3m,"kenapaa gaa ke gerbong mautt, sebrang bioskop ituu huhuu",0
@yukikaori7153,"seru banget ni episode, keren buat mas nunu, om mongol sama yg 1 lagi",0
@NailiIdarotul,Ada foto sai baba nya,0
@dzakymisbahudin3504,"Cuman di dms+ aja karena gak ada proyek fitur baru, programmingnya  ikut penelusuran",0
@reginaaprillee5356,"Temen temen semua, dulu aku sama kok kaya kalian. Beberapa pernah minta admin DMS utk upload di YT aja jangan di DMS+, karena kendala di uang, tapi aku langsung tersadar utk memproduksi sesuatu itu butuh DANA yang tidak sedikit. Bukan tim DMS egois tidak menayangkan di YT, tapi ini demi keberlanjutannya DMS guys. Bertambahnya bulan dan tahun pasti kan butuh progress, perlu kenaikan dari sisi konten, alat, dsb, dan itu semua butuh DANA. <br><br>Jadi mohon banget pengertiannya dari temen-temen semua. Mari nikamati yang ada. Sebagai salah satu pengikut DMS dari episode pertama, aku seneng banget DMS bisa sejauh ini. Walaupun sampai sekarang aku belum bisa support lewat DMS+ tapi aku sangat menikmati perjalanan bersama DMS ini.<br><br>Jadi sekali lagi buat temen-temen semua mohon pengertiannya ya ❤🍅",0
@ARCD7D9,Salam dari Malaysia Kak sara and the team . Jika terdapat terkoneksi tenaga dari imaginasi saya dalam beberapa hari lepas say &#39; Yes &quot; . Semoga kak sara and the team sihat selalu .,2
@dennychandra8768,45rb/bln atau gmn yh ?,0
@yansas_kia4603,"Ibuu kalau spil patung2 nya ibu emang gapapa ya, kepengen banget nonton in patung2 koleksi ibu🥶",0
@soniagardiolaaulia,"Enaknya nntn dms tu krna gk ada jumpscarenya tiba², jdi merasa aman untuk nonton, palingan backsoundnya aja sekali² yg ngagetin wkwk<br>Klupun mau ada jumpscare/penampakan, pasti dikasih tau dluan di tulisan dibawah",0
@GandiyProHD,Suara ular banyak tuh dominan cewe,0
